startprofiel,startprofiel+extra,LF  startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,verlies aan energie,390 of 360A,profiel 360/390A afhankelijk van LF,verlies aan energie2,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel 360/390A2
163.8,245.7,0.5767954255,245.7,0.5767954255,507,0,0,390,245.7,0,0,,,,
144.2152173913,216.322826087,0.5713571657,216.322826087,0.5713571657,507,0,0,390,216.322826087,0,0,,,,
144.2152173913,216.322826087,0.5791380157,216.322826087,0.5791380157,507,0,0,390,216.322826087,0,0,,,,
140.6543478261,210.9815217391,0.5737352652,210.9815217391,0.5737352652,507,0,0,390,210.9815217391,0,0,,,,
161.4260869565,242.1391304348,0.5745287698,242.1391304348,0.5745287698,507,0,0,390,242.1391304348,0,0,,,,
125.8173913043,188.7260869565,0.5693204365,188.7260869565,0.5693204365,507,0,0,390,188.7260869565,0,0,,,,
103.2652173913,154.897826087,0.5632027116,154.897826087,0.5632027116,507,0,0,390,154.897826087,0,0,,,,
95.55,143.325,0.5569196429,143.325,0.5569196429,507,0,0,390,143.325,0,0,,,,
99.7043478261,149.5565217391,0.5505539021,149.5565217391,0.5505539021,507,0,0,390,149.5565217391,0,0,,,,
97.9239130435,146.8858695652,0.5451802249,146.8858695652,0.5451802249,507,0,0,390,146.8858695652,0,0,,,,
89.0217391304,133.5326086957,0.5387524802,133.5326086957,0.5387524802,507,0,0,390,133.5326086957,0,0,,,,
72.4043478261,108.6065217391,0.5328000992,108.6065217391,0.5328000992,507,0,0,390,108.6065217391,0,0,,,,
57.5673913043,86.3510869565,0.5257316468,86.3510869565,0.5257316468,507,0,0,390,86.3510869565,0,0,,,,
45.697826087,68.5467391304,0.5188492063,68.5467391304,0.5188492063,507,0,0,390,68.5467391304,0,0,,,,
51.0391304348,76.5586956522,0.5113053902,76.5586956522,0.5113053902,507,0,0,390,76.5586956522,0,0,,,,
59.347826087,89.0217391304,0.5045676257,89.0217391304,0.5045676257,507,0,0,390,89.0217391304,0,0,,,,
58.7543478261,88.1315217391,0.4995866402,88.1315217391,0.4995866402,507,0,0,390,88.1315217391,0,0,,,,
49.852173913,74.7782608696,0.4938616071,74.7782608696,0.4938616071,507,0,0,390,74.7782608696,0,0,,,,
59.9413043478,89.9119565217,0.4911541005,89.9119565217,0.4911541005,507,0,0,390,89.9119565217,0,0,,,,
69.4369565217,104.1554347826,0.4884259259,104.1554347826,0.4884259259,507,0,0,390,104.1554347826,0,0,,,,
82.4934782609,123.7402173913,0.4855944114,123.7402173913,0.4855944114,507,0,0,390,123.7402173913,0,0,,,,
75.9652173913,113.947826087,0.4811094577,113.947826087,0.4811094577,507,0,0,390,113.947826087,0,0,,,,
81.3065217391,121.9597826087,0.4787533069,121.9597826087,0.4787533069,507,0,0,390,121.9597826087,0,0,,,,
88.4282608696,132.6423913043,0.4764384921,132.6423913043,0.4764384921,507,0,0,390,132.6423913043,0,0,,,,
89.6152173913,134.422826087,0.4742063492,134.422826087,0.4742063492,507,0,0,390,134.422826087,0,0,,,,
91.3956521739,137.0934782609,0.4728629299,137.0934782609,0.4728629299,507,0,0,390,137.0934782609,0,0,,,,
106.8260869565,160.2391304348,0.4715815146,160.2391304348,0.4715815146,507,0,0,390,160.2391304348,0,0,,,,
86.647826087,129.9717391304,0.4683573082,129.9717391304,0.4683573082,507,0,0,390,129.9717391304,0,0,,,,
80.1195652174,120.1793478261,0.4679232804,120.1793478261,0.4679232804,507,0,0,390,120.1793478261,0,0,,,,
86.0543478261,129.0815217391,0.4660218254,129.0815217391,0.4660218254,507,0,0,390,129.0815217391,0,0,,,,
72.997826087,109.4967391304,0.4598420966,109.4967391304,0.4598420966,507,0,0,390,109.4967391304,0,0,,,,
56.9739130435,85.4608695652,0.4562458664,85.4608695652,0.4562458664,507,0,0,390,85.4608695652,0,0,,,,
54.0065217391,81.0097826087,0.4545304233,81.0097826087,0.4545304233,507,0,0,390,81.0097826087,0,0,,,,
43.9173913043,65.8760869565,0.4506241733,65.8760869565,0.4506241733,507,0,0,390,65.8760869565,0,0,,,,
23.1456521739,34.7184782609,0.4462838955,34.7184782609,0.4462838955,507,0,0,390,34.7184782609,0,0,,,,
52.8195652174,79.2293478261,0.4429563492,79.2293478261,0.4429563492,507,0,0,390,79.2293478261,0,0,,,,
46.8847826087,70.327173913,0.441426918,70.327173913,0.441426918,507,0,0,390,70.327173913,0,0,,,,
27.3,40.95,0.4396701389,40.95,0.4396701389,507,0,0,390,40.95,0,0,,,,
30.2673913043,45.4010869565,0.435453869,45.4010869565,0.435453869,507,0,0,390,45.4010869565,0,0,,,,
41.5434782609,62.3152173913,0.5294283662,62.3152173913,0.5294283662,507,0,0,390,62.3152173913,0,0,,,,
41.5434782609,62.3152173913,0.5216030378,62.3152173913,0.5216030378,507,0,0,390,62.3152173913,0,0,,,,
36.202173913,54.3032608696,0.5150605501,54.3032608696,0.5150605501,507,0,0,390,54.3032608696,0,0,,,,
43.3239130435,64.9858695652,0.5100318144,64.9858695652,0.5100318144,507,0,0,390,64.9858695652,0,0,,,,
57.5673913043,86.3510869565,0.505259647,86.3510869565,0.505259647,507,0,0,390,86.3510869565,0,0,,,,
48.0717391304,72.1076086957,0.4983836207,72.1076086957,0.4983836207,507,0,0,390,72.1076086957,0,0,,,,
28.4869565217,42.7304347826,0.4901990969,42.7304347826,0.4901990969,507,0,0,390,42.7304347826,0,0,,,,
0,0,0.4804495074,0,0.4804495074,507,0,0,390,0,0,0,,,,
0,0,0.4717518473,0,0.4717518473,507,0,0,390,0,0,0,,,,
0,0,0.4981438387,0,0.4981438387,507,0,0,390,0,0,0,,,,
0,0,0.4888907358,0,0.4888907358,507,0,0,390,0,0,0,,,,
0,0,0.4791112589,0,0.4791112589,507,0,0,390,0,0,0,,,,
62.9086956522,94.3630434783,0.4755651596,94.3630434783,0.4755651596,507,0,0,390,94.3630434783,0,0,,,,
59.347826087,89.0217391304,0.4709663121,89.0217391304,0.4709663121,507,0,0,390,89.0217391304,0,0,,,,
97.3304347826,145.9956521739,0.4689439273,145.9956521739,0.4689439273,507,0,0,390,145.9956521739,0,0,,,,
106.2326086957,159.3489130435,0.4691101507,159.3489130435,0.4691101507,507,0,0,390,159.3489130435,0,0,,,,
109.7934782609,164.6902173913,0.4665336879,164.6902173913,0.4665336879,507,0,0,390,164.6902173913,0,0,,,,
99.1108695652,148.6663043478,0.4639849291,148.6663043478,0.4639849291,507,0,0,390,148.6663043478,0,0,,,,
66.4695652174,99.7043478261,0.4605219415,99.7043478261,0.4605219415,507,0,0,390,99.7043478261,0,0,,,,
108.6065217391,162.9097826087,0.4603280142,162.9097826087,0.4603280142,507,0,0,390,162.9097826087,0,0,,,,
106.2326086957,159.3489130435,0.4589428191,159.3489130435,0.4589428191,507,0,0,390,159.3489130435,0,0,,,,
101.4847826087,152.227173913,0.4558122784,152.227173913,0.4558122784,507,0,0,390,152.227173913,0,0,,,,
84.8673913043,127.3010869565,0.4543716755,127.3010869565,0.4543716755,507,0,0,390,127.3010869565,0,0,,,,
99.7043478261,149.5565217391,0.4543162677,149.5565217391,0.4543162677,507,0,0,390,149.5565217391,0,0,,,,
101.4847826087,152.227173913,0.4537067819,152.227173913,0.4537067819,507,0,0,390,152.227173913,0,0,,,,
105.0456521739,157.5684782609,0.4540115248,157.5684782609,0.4540115248,507,0,0,390,157.5684782609,0,0,,,,
103.2652173913,154.897826087,0.4545933067,154.897826087,0.4545933067,507,0,0,390,154.897826087,0,0,,,,
128.1913043478,192.2869565217,0.4566433954,192.2869565217,0.4566433954,507,0,0,390,192.2869565217,0,0,,,,
148.9630434783,223.4445652174,0.4549257535,223.4445652174,0.4549257535,507,0,0,390,223.4445652174,0,0,,,,
135.9065217391,203.8597826087,0.451462766,203.8597826087,0.451462766,507,0,0,390,203.8597826087,0,0,,,,
145.402173913,218.1032608696,0.4498005319,218.1032608696,0.4498005319,507,0,0,390,218.1032608696,0,0,,,,
156.0847826087,234.127173913,0.4484707447,234.127173913,0.4484707447,507,0,0,390,234.127173913,0,0,,,,
120.4760869565,180.7141304348,0.4449800532,180.7141304348,0.4449800532,507,0,0,390,180.7141304348,0,0,,,,
151.3369565217,227.0054347826,0.4480274823,227.0054347826,0.4480274823,507,0,0,390,227.0054347826,0,0,,,,
131.752173913,197.6282608696,0.4509917996,197.6282608696,0.4509917996,507,0,0,390,197.6282608696,0,0,,,,
144.2152173913,216.322826087,0.4502160904,216.322826087,0.4502160904,507,0,0,390,216.322826087,0,0,,,,
147.1826086957,220.7739130435,0.4704423436,220.7739130435,0.4704423436,507,0,0,390,220.7739130435,0,0,,,,
150.15,225.225,0.4684290383,225.225,0.4684290383,507,0,0,390,225.225,0,0,,,,
173.2956521739,259.9434782609,0.468662465,259.9434782609,0.468662465,507,0,0,390,259.9434782609,0,0,,,,
224.3347826087,336.502173913,0.4443893298,336.502173913,0.4443893298,507,0,0,390,336.502173913,0,0,,,,
233.2369565217,349.8554347826,0.4310326548,349.8554347826,0.4310326548,507,0,0,390,349.8554347826,0,0,,,,
230.2695652174,345.4043478261,0.4346639101,345.4043478261,0.4346639101,507,0,0,390,345.4043478261,0,0,,,,
