startprofiel,startprofiel+extra,LF  startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,verlies aan energie,390 of 360A,profiel 360/390A afhankelijk van LF,verlies aan energie2,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel2 360/390A
151.3369565,227.0054348,0.448027482,227.0054348,0.448027482,507,0,0,390,227.0054348,0,0,,,,
131.7521739,197.6282609,0.4509918,197.6282609,0.4509918,507,0,0,390,197.6282609,0,0,,,,
144.2152174,216.3228261,0.45021609,216.3228261,0.45021609,507,0,0,390,216.3228261,0,0,,,,
147.1826087,220.773913,0.470442344,220.773913,0.470442344,507,0,0,390,220.773913,0,0,,,,
150.15,225.225,0.468429038,225.225,0.468429038,507,0,0,390,225.225,0,0,,,,
173.2956522,259.9434783,0.468662465,259.9434783,0.468662465,507,0,0,390,259.9434783,0,0,,,,
224.3347826,336.5021739,0.44438933,336.5021739,0.44438933,507,0,0,390,336.5021739,0,0,,,,
233.2369565,349.8554348,0.431032655,349.8554348,0.431032655,507,0,0,390,349.8554348,0,0,,,,
230.2695652,345.4043478,0.43466391,345.4043478,0.43466391,507,0,0,390,345.4043478,0,0,,,,
252.8217391,379.2326087,0.405394171,379.2326087,0.405394171,507,0,0,390,379.2326087,0,0,,,,
224.3347826,336.5021739,0.408475156,336.5021739,0.408475156,507,0,0,390,336.5021739,0,0,,,,
187.5391304,281.3086957,0.410578052,281.3086957,0.410578052,507,0,0,390,281.3086957,0,0,,,,
223.7413043,335.6119565,0.412338615,335.6119565,0.412338615,507,0,0,390,335.6119565,0,0,,,,
201.1891304,301.7836957,0.413316706,301.7836957,0.413316706,507,0,0,390,301.7836957,0,0,,,,
223.1478261,334.7217391,0.415982003,334.7217391,0.415982003,507,0,0,390,334.7217391,0,0,,,,
209.4978261,314.2467391,0.415884194,314.2467391,0.415884194,507,0,0,390,314.2467391,0,0,,,,
221.9608696,332.9413043,0.416984546,332.9413043,0.416984546,507,0,0,390,332.9413043,0,0,,,,
236.2043478,354.3065217,0.418769562,354.3065217,0.418769562,507,0,0,390,354.3065217,0,0,,,,
220.773913,331.1608696,0.421679382,331.1608696,0.421679382,507,0,0,390,331.1608696,0,0,,,,
235.0173913,352.526087,0.425958529,352.526087,0.425958529,507,0,0,390,352.526087,0,0,,,,
228.4891304,342.7336957,0.428868349,342.7336957,0.428868349,507,0,0,390,342.7336957,0,0,,,,
245.1065217,367.6597826,0.432658451,367.6597826,0.432658451,507,0,0,390,367.6597826,0,0,,,,
230.8630435,346.2945652,0.435837246,346.2945652,0.435837246,507,0,0,390,346.2945652,0,0,,,,
252.8217391,379.2326087,0.440434272,379.2326087,0.440434272,507,0,0,390,379.2326087,0,0,,,,
262.3173913,393.476087,0.428403092,393.476087,0.428403092,507,1,0,390,390,23.4531587,0,,,,
271.2195652,406.8293478,0.419219548,406.8293478,0.419219548,507,2,0,390,390,113.5476098,0,,,,
226.7086957,340.0630435,0.422387856,340.0630435,0.422387856,507,2,0,390,340.0630435,0,0,,,,
211.2782609,316.9173913,0.425100292,316.9173913,0.425100292,507,0,0,390,316.9173913,0,0,,,,
191.1,286.65,0.426239971,286.65,0.426239971,507,0,0,390,286.65,0,0,,,,
146.5891304,219.8836957,0.427037746,219.8836957,0.427037746,507,0,0,390,219.8836957,0,0,,,,
157.8652174,236.7978261,0.429134756,236.7978261,0.429134756,507,0,0,390,236.7978261,0,0,,,,
179.823913,269.7358696,0.432371444,269.7358696,0.432371444,507,0,0,390,269.7358696,0,0,,,,
179.823913,269.7358696,0.435448578,269.7358696,0.435448578,507,0,0,390,269.7358696,0,0,,,,
175.076087,262.6141304,0.438411743,262.6141304,0.438411743,507,0,0,390,262.6141304,0,0,,,,
185.1652174,277.7478261,0.442104303,277.7478261,0.442104303,507,0,0,390,277.7478261,0,0,,,,
154.8978261,232.3467391,0.445272611,232.3467391,0.445272611,507,0,0,390,232.3467391,0,0,,,,
109.2,163.8,0.447255653,163.8,0.447255653,507,0,0,390,163.8,0,0,,,,
112.1673913,168.251087,0.449808534,168.251087,0.449808534,507,0,0,390,168.251087,0,0,,,,
125.223913,187.8358696,0.452657732,187.8358696,0.452657732,507,0,0,390,187.8358696,0,0,,,,
115.7282609,173.5923913,0.454823122,173.5923913,0.454823122,507,0,0,390,173.5923913,0,0,,,,
94.95652174,142.4347826,0.45621353,142.4347826,0.45621353,507,0,0,390,142.4347826,0,0,,,,
67.65652174,101.4847826,0.456897338,101.4847826,0.456897338,507,0,0,390,101.4847826,0,0,,,,
64.68913043,97.03369565,0.457079686,97.03369565,0.457079686,507,0,0,390,97.03369565,0,0,,,,
49.85217391,74.77826087,0.456327498,74.77826087,0.456327498,507,0,0,390,74.77826087,0,0,,,,
61.72173913,92.5826087,0.455529723,92.5826087,0.455529723,507,0,0,390,92.5826087,0,0,,,,
82.49347826,123.7402174,0.455780452,123.7402174,0.455780452,507,0,0,390,123.7402174,0,0,,,,
89.02173913,133.5326087,0.456076769,133.5326087,0.456076769,507,0,0,390,133.5326087,0,0,,,,
86.64782609,129.9717391,0.456008388,129.9717391,0.456008388,507,0,0,390,129.9717391,0,0,,,,
107.4195652,161.1293478,0.456692195,161.1293478,0.456692195,507,0,0,390,161.1293478,0,0,,,,
84.8673913,127.301087,0.456441466,127.301087,0.456441466,507,0,0,390,127.301087,0,0,,,,
87.83478261,131.7521739,0.455712071,131.7521739,0.455712071,507,0,0,390,131.7521739,0,0,,,,
65.87608696,98.81413043,0.454914296,98.81413043,0.454914296,507,0,0,390,98.81413043,0,0,,,,
98.5173913,147.776087,0.455620897,147.776087,0.455620897,507,0,0,390,147.776087,0,0,,,,
95.55,143.325,0.455985594,143.325,0.455985594,507,0,0,390,143.325,0,0,,,,
87.83478261,131.7521739,0.456555434,131.7521739,0.456555434,507,0,0,390,131.7521739,0,0,,,,
72.99782609,109.4967391,0.457170861,109.4967391,0.457170861,507,0,0,390,109.4967391,0,0,,,,
86.05434783,129.0815217,0.458401714,129.0815217,0.458401714,507,0,0,390,129.0815217,0,0,,,,
98.5173913,147.776087,0.460498724,147.776087,0.460498724,507,0,0,390,147.776087,0,0,,,,
91.98913043,137.9836957,0.463142779,137.9836957,0.463142779,507,0,0,390,137.9836957,0,0,,,,
75.96521739,113.9478261,0.464031729,113.9478261,0.464031729,507,0,0,390,113.9478261,0,0,,,,
82.49347826,123.7402174,0.465399344,123.7402174,0.465399344,507,0,0,390,123.7402174,0,0,,,,
100.8913043,151.3369565,0.468225748,151.3369565,0.468225748,507,0,0,390,151.3369565,0,0,,,,
91.39565217,137.0934783,0.470573487,137.0934783,0.470573487,507,0,0,390,137.0934783,0,0,,,,
54.00652174,81.00978261,0.471052152,81.00978261,0.471052152,507,0,0,390,81.00978261,0,0,,,,
0,0,0.469456601,0,0.469456601,507,0,0,390,0,0,0,,,,
0,0,0.468066193,0,0.468066193,507,0,0,390,0,0,0,,,,
0,0,0.466402261,0,0.466402261,507,0,0,390,0,0,0,,,,
0,0,0.464191284,0,0.464191284,507,0,0,390,0,0,0,,,,
1.186956522,1.780434783,0.462390591,1.780434783,0.462390591,507,0,0,390,1.780434783,0,0,,,,
0,0,0.461296499,0,0.461296499,507,0,0,390,0,0,0,,,,
0,0,0.461296499,0,0.461296499,507,0,0,390,0,0,0,,,,
0,0,0.461296499,0,0.461296499,507,0,0,390,0,0,0,,,,
0,0,0.461296499,0,0.461296499,507,0,0,390,0,0,0,,,,
0,0,0.461296499,0,0.461296499,507,0,0,390,0,0,0,,,,
0,0,0.461296499,0,0.461296499,507,0,0,390,0,0,0,,,,
29.08043478,43.62065217,0.459997265,43.62065217,0.459997265,507,0,0,390,43.62065217,0,0,,,,
107.4195652,161.1293478,0.461843545,161.1293478,0.461843545,507,0,0,390,161.1293478,0,0,,,,
167.9543478,251.9315217,0.464555981,251.9315217,0.464555981,507,0,0,390,251.9315217,0,0,,,,
127.0043478,190.5065217,0.465353756,190.5065217,0.465353756,507,0,0,390,190.5065217,0,0,,,,
100.2978261,150.4467391,0.464989059,150.4467391,0.464989059,507,0,0,390,150.4467391,0,0,,,,
97.92391304,146.8858696,0.464943472,146.8858696,0.464943472,507,0,0,390,146.8858696,0,0,,,,
101.4847826,152.2271739,0.466288293,152.2271739,0.466288293,507,0,0,390,152.2271739,0,0,,,,
131.1586957,196.7380435,0.467154449,196.7380435,0.467154449,507,0,0,390,196.7380435,0,0,,,,
151.3369565,227.0054348,0.468886761,227.0054348,0.468886761,507,0,0,390,227.0054348,0,0,,,,
179.823913,269.7358696,0.471895514,269.7358696,0.471895514,507,0,0,390,269.7358696,0,0,,,,
153.1173913,229.676087,0.474516776,229.676087,0.474516776,507,0,0,390,229.676087,0,0,,,,
175.6695652,263.5043478,0.477434354,263.5043478,0.477434354,507,0,0,390,263.5043478,0,0,,,,
122.2565217,183.3847826,0.47823213,183.3847826,0.47823213,507,0,0,390,183.3847826,0,0,,,,
101.4847826,152.2271739,0.478095368,152.2271739,0.478095368,507,0,0,390,152.2271739,0,0,,,,
122.2565217,183.3847826,0.478824763,183.3847826,0.478824763,507,0,0,390,183.3847826,0,0,,,,
150.7434783,226.1152174,0.479690919,226.1152174,0.479690919,507,0,0,390,226.1152174,0,0,,,,
176.8565217,265.2847826,0.480762217,265.2847826,0.480762217,507,0,0,390,265.2847826,0,0,,,,
171.5152174,257.2728261,0.482129832,257.2728261,0.482129832,507,0,0,390,257.2728261,0,0,,,,
161.426087,242.1391304,0.482745259,242.1391304,0.482745259,507,0,0,390,242.1391304,0,0,,,,
173.8891304,260.8336957,0.483429066,260.8336957,0.483429066,507,0,0,390,260.8336957,0,0,,,,
93.17608696,139.7641304,0.482380562,139.7641304,0.482380562,507,0,0,390,139.7641304,0,0,,,,
116.9152174,175.3728261,0.481058534,175.3728261,0.481058534,507,0,0,390,175.3728261,0,0,,,,
77.15217391,115.7282609,0.478961524,115.7282609,0.478961524,507,0,0,390,115.7282609,0,0,,,,
138.2804348,207.4206522,0.478733589,207.4206522,0.478733589,507,0,0,390,207.4206522,0,0,,,,
129.3782609,194.0673913,0.478049781,194.0673913,0.478049781,507,0,0,390,194.0673913,0,0,,,,
128.7847826,193.1771739,0.477229212,193.1771739,0.477229212,507,0,0,390,193.1771739,0,0,,,,
113.9478261,170.9217391,0.474949854,170.9217391,0.474949854,507,0,0,390,170.9217391,0,0,,,,
87.83478261,131.7521739,0.46970733,131.7521739,0.46970733,507,0,0,390,131.7521739,0,0,,,,
140.6543478,210.9815217,0.466151532,210.9815217,0.466151532,507,0,0,390,210.9815217,0,0,,,,
