startprofiel,startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,LF  startprofiel+extra,390 of 360A,regelpunt profiel 360/390A,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel2 360/390A,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.0652174,517.5978261,517.5978261,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
345.0652174,517.5978261,517.5978261,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
344.6413043,516.9619565,516.9619565,0,0,0,0,390,390,0,,,,,
345.0652174,517.5978261,517.5978261,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
344.2173913,516.326087,516.326087,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.4891304,518.2336957,518.2336957,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0,0,0,0,390,390,0,,,,,
345.9130435,518.8695652,518.8695652,0.91320721,468,1,0.91320721,360,360,0,,,,,
345.0652174,517.5978261,468,0.91588797,468,2,0.916883681,360,360,0,,,,,
345.9130435,518.8695652,468,0.918581495,468,3,0.920598448,360,360,0,,,,,
345.4891304,518.2336957,468,0.922155842,340,4,0.92518127,360,360,0,,,,,
345.9130435,518.8695652,340,0.92318603,340,4,0.92980239,360,360,1,,,,,
345.4891304,518.2336957,340,0.924190688,340,4,0.934385212,360,360,1,,,,,
345.9130435,518.8695652,340,0.925578311,340,4,0.939363766,360,360,1,,,,,
345.9130435,518.8695652,340,0.926672327,468,0,0.944048713,360,360,1,,,,,
345.9130435,518.8695652,468,0.929774349,468,1,0.948171977,360,360,0,,,,,
345.4891304,518.2336957,468,0.93222533,468,2,0.951631434,360,360,0,,,,,
345.4891304,518.2336957,468,0.933846551,468,3,0.954261132,360,360,0,,,,,
345.4891304,518.2336957,468,0.935774145,340,4,0.957197202,360,360,0,,,,,
337.4347826,506.1521739,340,0.935374595,340,4,0.960133272,360,360,1,,,,,
344.2173913,516.326087,340,0.936226066,340,4,0.964524612,360,360,1,,,,,
345.9130435,518.8695652,340,0.936949882,340,4,0.968839359,360,360,1,,,,,
345.4891304,518.2336957,340,0.936409912,468,0,0.971877553,360,360,1,,,,,
345.4891304,518.2336957,468,0.937711995,468,1,0.974188113,360,360,0,,,,,
